Team,Seed,Regional_Final_%,Frozen_Four_%,Championship_Game_%,Win_Title_%
Michigan State,1,85.57000000000001,62.45,41.56,27.98
Michigan,2,72.96000000000001,45.129999999999995,22.36,12.959999999999999
North Dakota,3,67.95,42.63,23.599999999999998,11.75
Western Michigan,4,60.49,32.7,17.91,8.62
Penn State,5,60.870000000000005,33.410000000000004,19.03,8.59
Quinnipiac,7,53.39,24.38,9.66,4.68
Minnesota-Duluth,8,58.28,19.97,9.42,4.63
Providence,6,56.96,26.0,11.61,4.41
Denver,9,46.61,20.03,7.359999999999999,2.97
Boston College,12,39.129999999999995,16.99,7.33,2.77
Wisconsin,13,39.51,16.900000000000002,7.580000000000001,2.76
Dartmouth,11,43.04,16.78,7.19,2.5
Cornell,10,41.72,12.5,4.93,2.07
Connecticut,14,32.05,14.59,5.75,1.9900000000000002
St. Thomas,15,27.04,10.459999999999999,3.2399999999999998,1.01
Bentley,16,14.430000000000001,5.08,1.47,0.31
