Team,GP,SAT,SATA,CF%,FF,FFA,FF%,ES_SAT,ES_SATA,ES_CF%,ES_FF,ES_FFA,ES_FF%,PP_SAT,PP_SATA,PP_CF%,PP_FF,PP_FFA,PP_FF%,Close_SAT,Close_SATA,Close_CF%,Close_FF,Close_FFA,Close_FF%,ES_GF%,PP%
Air Force,32.0,1975.0,1708.0,53.6,1502.0,1283.0,53.9,1741.0,1535.0,53.1,1268.0,1110.0,53.3,198.0,142.0,58.2,198.0,142.0,58.2,1043.0,926.0,53.0,774.0,677.0,53.3,53.1,12.9
Alaska,29.0,1443.0,1683.0,46.2,1085.0,1297.0,45.5,1290.0,1465.0,46.8,932.0,1079.0,46.3,132.0,191.0,40.9,132.0,191.0,40.9,772.0,883.0,46.6,562.0,654.0,46.2,47.4,19.5
Alaska-Anchorage,29.0,1290.0,1932.0,40.0,1021.0,1487.0,40.7,1157.0,1746.0,39.9,888.0,1301.0,40.6,115.0,163.0,41.4,115.0,163.0,41.4,570.0,918.0,38.3,434.0,681.0,38.9,40.0,18.5
Arizona State,34.0,1804.0,2111.0,46.1,1364.0,1574.0,46.4,1597.0,1828.0,46.6,1157.0,1291.0,47.3,170.0,222.0,43.4,170.0,222.0,43.4,983.0,1140.0,46.3,712.0,828.0,46.2,46.4,23.6
Army,32.0,1687.0,1801.0,48.4,1269.0,1420.0,47.2,1533.0,1593.0,49.0,1115.0,1212.0,47.9,138.0,190.0,42.1,138.0,190.0,42.1,990.0,1056.0,48.4,716.0,792.0,47.5,46.8,21.8
Augustana,34.0,1708.0,1874.0,47.7,1341.0,1466.0,47.8,1533.0,1708.0,47.3,1166.0,1300.0,47.3,148.0,156.0,48.7,148.0,156.0,48.7,1008.0,1075.0,48.4,774.0,825.0,48.4,45.5,22.1
Bemidji State,32.0,1812.0,1572.0,53.5,1389.0,1189.0,53.9,1612.0,1395.0,53.6,1189.0,1012.0,54.0,170.0,142.0,54.5,170.0,142.0,54.5,924.0,838.0,52.4,684.0,612.0,52.8,53.6,18.7
Bentley,32.0,1752.0,1662.0,51.3,1358.0,1270.0,51.7,1564.0,1487.0,51.3,1170.0,1095.0,51.7,157.0,156.0,50.2,157.0,156.0,50.2,1022.0,891.0,53.4,758.0,646.0,54.0,52.4,21.9
Boston College,30.0,1719.0,1430.0,54.6,1362.0,1113.0,55.0,1519.0,1262.0,54.6,1162.0,945.0,55.1,162.0,155.0,51.1,162.0,155.0,51.1,962.0,693.0,58.1,751.0,531.0,58.6,55.1,27.7
Boston University,31.0,1784.0,1690.0,51.4,1331.0,1282.0,50.9,1605.0,1511.0,51.5,1152.0,1103.0,51.1,145.0,132.0,52.3,145.0,132.0,52.3,1046.0,1004.0,51.0,762.0,742.0,50.7,50.8,15.4
