date,home_team,away_team,home_score,away_score,period,home_outcome,away_outcome
2025-10-03,Boston College,Quinnipiac,3,4,3,RL,RW
2025-10-03,Canisius,Clarkson,3,1,3,RW,RL
2025-10-03,Michigan,Mercyhurst,11,1,3,RW,RL
2025-10-03,Miami,Ferris State,6,4,3,RW,RL
2025-10-03,Mass.-Lowell,Merrimack,4,0,3,RW,RL
2025-10-04,Minnesota,Michigan Tech,6,3,3,RW,RL
2025-10-04,Lindenwood,Wisconsin,0,3,3,RL,RW
2025-10-04,Colorado College,Connecticut,4,2,3,RW,RL
2025-10-04,Arizona State,Penn State,3,6,3,RL,RW
2025-10-04,Alaska,Minnesota-Duluth,1,5,3,RL,RW
2025-10-04,Alaska-Anchorage,Bemidji State,2,9,3,RL,RW
2025-10-04,Stonehill,Lake Superior,3,5,3,RL,RW
2025-10-04,Niagara,St. Lawrence,5,2,3,RW,RL
2025-10-04,Miami,Ferris State,3,1,3,RW,RL
2025-10-04,Boston University,Long Island,4,2,3,RW,RL
2025-10-04,St. Cloud State,St. Thomas,3,4,3,RL,RW
2025-10-04,Michigan,Mercyhurst,7,0,3,RW,RL
2025-10-04,Massachusetts,Northern Michigan,5,3,3,RW,RL
2025-10-04,Northeastern,Holy Cross,6,4,3,RW,RL
2025-10-05,Colorado College,Connecticut,1,5,3,RL,RW
2025-10-05,Arizona State,Penn State,2,4,3,RL,RW
2025-10-05,Minnesota,Michigan Tech,3,5,3,RL,RW
2025-10-05,Lindenwood,Wisconsin,2,7,3,RL,RW
2025-10-05,Alaska-Anchorage,Bemidji State,0,5,3,RL,RW
2025-10-05,Alaska,Minnesota-Duluth,1,4,3,RL,RW
2025-10-05,Stonehill,Lake Superior,2,3,3,RL,RW
2025-10-05,Massachusetts,Northern Michigan,4,1,3,RW,RL
2025-10-05,Canisius,St. Lawrence,4,2,3,RW,RL
2025-10-09,Penn State,Clarkson,4,6,3,RL,RW
2025-10-09,Michigan State,New Hampshire,3,4,3,RL,RW
2025-10-09,Western Michigan,Ferris State,2,3,3,RL,RW
2025-10-10,Minnesota,Boston College,1,3,3,RL,RW
2025-10-10,Niagara,Bowling Green,2,0,3,RW,RL
2025-10-10,Quinnipiac,Alaska,1,2,3,RL,RW
2025-10-10,Ohio State,Northern Michigan,5,2,3,RW,RL
2025-10-10,Minnesota,Boston College,2,2,4,T,T
2025-10-10,Boston University,Colgate,6,2,3,RW,RL
2025-10-10,Maine,Holy Cross,5,2,3,RW,RL
2025-10-10,Stonehill,Massachusetts,1,4,3,RL,RW
2025-10-10,Providence,Michigan,1,5,3,RL,RW
2025-10-10,Merrimack,Mass.-Lowell,4,1,3,RW,RL
2025-10-10,Vermont,St. Lawrence,2,1,3,RW,RL
2025-10-10,Mercyhurst,Union,2,5,3,RL,RW
2025-10-10,RPI,Miami,3,5,3,RL,RW
2025-10-10,Penn State,Clarkson,5,2,3,RW,RL
2025-10-10,Ferris State,Western Michigan,4,6,3,RL,RW
2025-10-10,Northeastern,Army,1,2,3,RL,RW
2025-10-10,Canisius,Long Island,3,2,4,OW,OL
2025-10-10,RIT,Sacred Heart,0,1,3,RL,RW
2025-10-10,Lake Superior,Lindenwood,4,5,3,RL,RW
2025-10-10,Michigan State,New Hampshire,2,0,3,RW,RL
2025-10-11,Omaha,Minnesota State,6,2,3,RW,RL
2025-10-11,Minnesota-Duluth,Augustana,4,1,3,RW,RL
2025-10-11,North Dakota,St. Thomas,6,2,3,RW,RL
2025-10-11,Bemidji State,St. Cloud State,2,3,3,RL,RW
2025-10-11,Colorado College,Bentley,5,2,3,RW,RL
2025-10-11,Air Force,Denver,1,1,4,T,T
2025-10-11,Arizona State,Notre Dame,5,3,3,RW,RL
2025-10-11,Mercyhurst,Union,3,5,3,RL,RW
2025-10-11,Ohio State,Northern Michigan,3,1,3,RW,RL
2025-10-11,Niagara,Bowling Green,5,2,3,RW,RL
2025-10-11,RIT,Sacred Heart,1,6,3,RL,RW
2025-10-11,Boston University,Colgate,2,2,4,T,T
2025-10-11,RPI,Miami,0,5,3,RL,RW
2025-10-11,Notre Dame,Quinnipiac,2,7,3,RL,RW
2025-10-11,Lake Superior,Lindenwood,4,7,3,RL,RW
2025-10-11,Maine,Holy Cross,6,0,3,RW,RL
2025-10-11,Providence,Michigan,1,3,3,RL,RW
2025-10-11,Air Force,Colorado College,2,4,3,RL,RW
2025-10-11,Canisius,Long Island,1,6,3,RL,RW
2025-10-11,Minnesota-Duluth,Augustana,0,4,3,RL,RW
2025-10-11,St. Cloud State,Bemidji State,4,2,3,RW,RL
2025-10-12,Omaha,Minnesota State,1,4,3,RL,RW
2025-10-12,Denver,Bentley,6,0,3,RW,RL
2025-10-12,Arizona State,Alaska,5,2,3,RW,RL
2025-10-12,St. Lawrence,Vermont,5,2,3,RW,RL
2025-10-12,Army,Stonehill,6,1,3,RW,RL
2025-10-12,St. Thomas,North Dakota,2,5,3,RL,RW
2025-10-14,Army,Canisius,1,3,3,RL,RW
2025-10-16,Notre Dame,St. Lawrence,8,2,3,RW,RL
2025-10-16,Michigan,Robert Morris,4,2,3,RW,RL
2025-10-17,Wisconsin,Minnesota State,1,1,4,T,T
2025-10-17,RPI,Boston College,1,5,3,RL,RW
2025-10-17,Boston University,Michigan State,2,4,3,RL,RW
2025-10-17,Quinnipiac,Maine,4,4,4,T,T
2025-10-17,Massachusetts,Northeastern,2,4,3,RL,RW
2025-10-17,Connecticut,Ohio State,3,2,3,RW,RL
2025-10-17,Colgate,Canisius,2,4,3,RL,RW
2025-10-17,Michigan,Robert Morris,10,2,3,RW,RL
2025-10-17,Notre Dame,St. Lawrence,3,0,3,RW,RL
2025-10-17,Northern Michigan,Colorado College,1,2,4,OL,OW
2025-10-17,Mass.-Lowell,Western Michigan,1,2,3,RL,RW
2025-10-17,Penn State,Long Island,5,4,4,OW,OL
2025-10-18,St. Cloud State,Vermont,1,2,4,OL,OW
2025-10-18,Union,Niagara,3,2,3,RW,RL
2025-10-18,Wisconsin,Minnesota State,2,2,4,T,T
2025-10-18,Bemidji State,Minnesota-Duluth,3,7,3,RL,RW
2025-10-18,Augustana,Arizona State,4,2,3,RW,RL
2025-10-18,North Dakota,Minnesota,5,2,3,RW,RL
2025-10-18,Lindenwood,Denver,4,3,3,RW,RL
2025-10-18,Air Force,St. Thomas,2,11,3,RL,RW
2025-10-18,Alaska,Michigan Tech,1,3,3,RL,RW
2025-10-18,Mercyhurst,Holy Cross,0,4,3,RL,RW
2025-10-18,Quinnipiac,Maine,4,0,3,RW,RL
2025-10-18,Connecticut,Ohio State,2,4,3,RL,RW
2025-10-18,RPI,Providence,1,5,3,RL,RW
2025-10-18,Sacred Heart,Stonehill,2,3,3,RL,RW
2025-10-18,Merrimack,New Hampshire,5,1,3,RW,RL
2025-10-18,Penn State,Long Island,3,0,3,RW,RL
2025-10-18,Mass.-Lowell,Western Michigan,0,6,3,RL,RW
2025-10-18,Northern Michigan,Colorado College,2,5,3,RL,RW
