Team,FF%_close,PP%,GSAx/60,season
Air Force,53.6,13.0,0.0,2024-25
Alaska,46.5,13.3,0.0,2024-25
Alaska-Anchorage,42.2,16.0,0.0,2024-25
American Int'l,45.0,18.0,0.0,2024-25
Arizona State,52.3,29.6,0.0,2024-25
Army,49.3,16.9,0.0,2024-25
Augustana,48.1,16.8,0.0,2024-25
Bemidji State,48.3,24.3,0.0,2024-25
Bentley,57.3,20.7,0.0,2024-25
Boston College,54.2,17.5,0.0,2024-25
Boston University,49.2,28.1,0.0,2024-25
Bowling Green,57.1,20.2,0.0,2024-25
Brown,46.5,17.4,0.0,2024-25
Canisius,45.0,22.6,0.0,2024-25
Clarkson,54.5,25.7,0.0,2024-25
Colgate,48.7,16.8,0.0,2024-25
Colorado College,50.4,16.7,0.0,2024-25
Connecticut,52.6,23.1,0.0,2024-25
Cornell,54.7,14.7,0.0,2024-25
Dartmouth,51.3,19.1,0.0,2024-25
Denver,55.1,28.8,0.0,2024-25
Ferris State,46.6,14.7,0.0,2024-25
Harvard,50.8,22.6,0.0,2024-25
Holy Cross,51.2,25.4,0.0,2024-25
Lake Superior,46.2,20.1,0.0,2024-25
Lindenwood,45.8,10.6,0.0,2024-25
Long Island,55.0,22.9,0.0,2024-25
Maine,55.2,21.2,0.0,2024-25
Mass.-Lowell,50.4,20.0,0.0,2024-25
Massachusetts,51.4,23.7,0.0,2024-25
Mercyhurst,40.1,19.1,0.0,2024-25
Merrimack,45.4,19.1,0.0,2024-25
Miami,43.0,16.5,0.0,2024-25
Michigan,48.6,25.6,0.0,2024-25
Michigan State,61.5,25.3,0.0,2024-25
Michigan Tech,53.2,25.0,0.0,2024-25
Minnesota,55.5,24.8,0.0,2024-25
Minnesota State,54.3,21.0,0.0,2024-25
Minnesota-Duluth,51.3,20.7,0.0,2024-25
New Hampshire,54.3,21.2,0.0,2024-25
Niagara,47.3,18.4,0.0,2024-25
North Dakota,51.3,26.4,0.0,2024-25
Northeastern,47.2,13.7,0.0,2024-25
Northern Michigan,36.7,14.8,0.0,2024-25
Notre Dame,42.8,22.7,0.0,2024-25
Ohio State,49.1,17.5,0.0,2024-25
Omaha,46.1,21.1,0.0,2024-25
Penn State,50.6,23.6,0.0,2024-25
Princeton,46.7,19.5,0.0,2024-25
Providence,55.2,16.2,0.0,2024-25
Quinnipiac,54.7,29.3,0.0,2024-25
Rensselaer,44.2,19.2,,2024-25
RIT,48.7,16.0,0.0,2024-25
Robert Morris,49.2,22.5,0.0,2024-25
Sacred Heart,46.6,16.4,0.0,2024-25
St. Cloud State,46.8,16.8,0.0,2024-25
St. Lawrence,45.8,15.1,0.0,2024-25
St. Thomas,49.9,24.1,0.0,2024-25
Stonehill,42.7,15.0,0.0,2024-25
Union,54.0,22.3,0.0,2024-25
Vermont,50.2,18.2,0.0,2024-25
Western Michigan,57.1,25.7,0.0,2024-25
Wisconsin,57.2,22.1,0.0,2024-25
Yale,41.1,17.0,0.0,2024-25
