Team,FF%_close,PP%,GSAx/60,season
Air Force,52.1,15.8,,2022-23
Alaska,57.0,15.9,,2022-23
Alaska-Anchorage,37.4,14.0,,2022-23
American Int'l,48.6,20.6,,2022-23
Arizona State,47.1,20.7,,2022-23
Army,49.0,20.9,,2022-23
Bemidji State,54.1,23.9,,2022-23
Bentley,48.5,11.2,,2022-23
Boston College,52.4,23.2,,2022-23
Boston University,54.6,20.0,,2022-23
Bowling Green,47.5,21.2,,2022-23
Brown,44.0,18.7,,2022-23
Canisius,45.3,22.0,,2022-23
Clarkson,49.8,18.9,,2022-23
Colgate,50.6,20.9,,2022-23
Colorado College,47.2,20.3,,2022-23
Connecticut,50.2,19.7,,2022-23
Cornell,59.0,24.6,,2022-23
Dartmouth,42.6,17.9,,2022-23
Denver,56.1,26.3,,2022-23
Ferris State,43.8,13.9,,2022-23
Harvard,53.7,24.3,,2022-23
Holy Cross,50.9,14.9,,2022-23
Lake Superior,41.2,14.7,,2022-23
Lindenwood,39.4,18.3,,2022-23
Long Island,47.3,21.6,,2022-23
Maine,53.4,18.8,,2022-23
Mass.-Lowell,56.0,14.5,,2022-23
Massachusetts,47.4,25.5,,2022-23
Mercyhurst,41.6,11.0,,2022-23
Merrimack,51.9,13.0,,2022-23
Miami,45.0,16.1,,2022-23
Michigan,53.0,23.4,,2022-23
Michigan State,51.3,19.2,,2022-23
Michigan Tech,52.5,13.0,,2022-23
Minnesota,55.4,26.6,,2022-23
Minnesota State,59.9,27.4,,2022-23
Minnesota-Duluth,52.8,24.6,,2022-23
New Hampshire,48.6,19.8,,2022-23
Niagara,48.8,17.9,,2022-23
North Dakota,51.8,27.3,,2022-23
Northeastern,48.0,17.9,,2022-23
Northern Michigan,48.9,23.5,,2022-23
Notre Dame,42.1,20.3,,2022-23
Ohio State,57.2,21.4,,2022-23
Omaha,51.2,20.7,,2022-23
Penn State,56.4,15.9,,2022-23
Princeton,48.9,15.0,,2022-23
Providence,60.2,17.8,,2022-23
Quinnipiac,60.2,22.2,,2022-23
Rensselaer,48.0,19.8,,2022-23
RIT,53.0,20.1,,2022-23
Sacred Heart,52.0,16.2,,2022-23
St. Cloud State,47.5,25.5,,2022-23
St. Lawrence,48.7,14.8,,2022-23
St. Thomas,42.6,17.3,,2022-23
Stonehill,33.7,7.1,,2022-23
Union,42.5,18.0,,2022-23
Vermont,43.8,14.5,,2022-23
Western Michigan,52.8,23.4,,2022-23
Wisconsin,52.1,21.2,,2022-23
Yale,43.4,11.8,,2022-23
Air Force,53.1,21.5,0.0,2023-24
Alaska,59.0,20.6,0.0,2023-24
Alaska-Anchorage,47.4,9.9,0.0,2023-24
American Int'l,49.8,15.1,0.0,2023-24
Arizona State,51.6,26.5,0.0,2023-24
Army,45.3,16.8,0.0,2023-24
Augustana,42.0,19.7,0.0,2023-24
Bemidji State,51.3,16.3,0.0,2023-24
Bentley,54.8,22.1,0.0,2023-24
Boston College,52.4,29.0,0.0,2023-24
Boston University,53.4,28.1,0.0,2023-24
Bowling Green,45.8,18.6,0.0,2023-24
Brown,45.0,14.9,0.0,2023-24
Canisius,47.5,15.8,0.0,2023-24
Clarkson,51.0,15.3,0.0,2023-24
Colgate,49.2,26.4,0.0,2023-24
Colorado College,51.3,16.9,0.0,2023-24
Connecticut,51.8,13.7,0.0,2023-24
Cornell,55.5,18.2,0.0,2023-24
Dartmouth,50.3,21.0,0.0,2023-24
Denver,52.4,22.3,0.0,2023-24
Ferris State,45.4,13.8,0.0,2023-24
Harvard,40.1,22.2,0.0,2023-24
Holy Cross,53.5,17.6,0.0,2023-24
Lake Superior,44.4,22.2,0.0,2023-24
Lindenwood,40.2,14.8,0.0,2023-24
Long Island,53.7,25.8,0.0,2023-24
Maine,54.0,21.7,0.0,2023-24
Mass.-Lowell,48.9,12.4,0.0,2023-24
Massachusetts,53.1,19.2,0.0,2023-24
Mercyhurst,41.3,17.9,0.0,2023-24
Merrimack,47.9,17.1,0.0,2023-24
Miami,43.5,13.2,0.0,2023-24
Michigan,54.4,33.6,0.0,2023-24
Michigan State,54.4,27.1,0.0,2023-24
Michigan Tech,52.8,22.7,0.0,2023-24
Minnesota,50.7,23.2,0.0,2023-24
Minnesota State,53.4,20.0,0.0,2023-24
Minnesota-Duluth,49.0,25.0,0.0,2023-24
New Hampshire,54.8,18.9,0.0,2023-24
Niagara,47.4,23.0,0.0,2023-24
North Dakota,53.3,25.5,0.0,2023-24
Northeastern,44.2,25.0,0.0,2023-24
Northern Michigan,50.9,22.6,0.0,2023-24
Notre Dame,48.9,19.1,0.0,2023-24
Ohio State,49.7,21.9,0.0,2023-24
Omaha,49.3,18.4,0.0,2023-24
Penn State,55.5,19.7,0.0,2023-24
Princeton,50.1,27.8,0.0,2023-24
Providence,57.1,19.3,0.0,2023-24
Quinnipiac,60.8,22.2,0.0,2023-24
Rensselaer,44.2,18.2,,2023-24
RIT,55.4,24.0,0.0,2023-24
Robert Morris,40.8,19.0,0.0,2023-24
Sacred Heart,45.2,17.7,0.0,2023-24
St. Cloud State,51.1,24.2,0.0,2023-24
St. Lawrence,49.8,18.8,0.0,2023-24
St. Thomas,49.8,17.4,0.0,2023-24
Stonehill,36.1,13.8,0.0,2023-24
Union,49.7,21.2,0.0,2023-24
Vermont,47.9,10.6,0.0,2023-24
Western Michigan,57.9,21.9,0.0,2023-24
Wisconsin,53.2,19.7,0.0,2023-24
Yale,46.5,12.9,0.0,2023-24
Air Force,53.6,13.0,0.0,2024-25
Alaska,46.5,13.3,0.0,2024-25
Alaska-Anchorage,42.2,16.0,0.0,2024-25
American Int'l,45.0,18.0,0.0,2024-25
Arizona State,52.3,29.6,0.0,2024-25
Army,49.3,16.9,0.0,2024-25
Augustana,48.1,16.8,0.0,2024-25
Bemidji State,48.3,24.3,0.0,2024-25
Bentley,57.3,20.7,0.0,2024-25
Boston College,54.2,17.5,0.0,2024-25
Boston University,49.2,28.1,0.0,2024-25
Bowling Green,57.1,20.2,0.0,2024-25
Brown,46.5,17.4,0.0,2024-25
Canisius,45.0,22.6,0.0,2024-25
Clarkson,54.5,25.7,0.0,2024-25
Colgate,48.7,16.8,0.0,2024-25
Colorado College,50.4,16.7,0.0,2024-25
Connecticut,52.6,23.1,0.0,2024-25
Cornell,54.7,14.7,0.0,2024-25
Dartmouth,51.3,19.1,0.0,2024-25
Denver,55.1,28.8,0.0,2024-25
Ferris State,46.6,14.7,0.0,2024-25
Harvard,50.8,22.6,0.0,2024-25
Holy Cross,51.2,25.4,0.0,2024-25
Lake Superior,46.2,20.1,0.0,2024-25
Lindenwood,45.8,10.6,0.0,2024-25
Long Island,55.0,22.9,0.0,2024-25
Maine,55.2,21.2,0.0,2024-25
Mass.-Lowell,50.4,20.0,0.0,2024-25
Massachusetts,51.4,23.7,0.0,2024-25
Mercyhurst,40.1,19.1,0.0,2024-25
Merrimack,45.4,19.1,0.0,2024-25
Miami,43.0,16.5,0.0,2024-25
Michigan,48.6,25.6,0.0,2024-25
Michigan State,61.5,25.3,0.0,2024-25
Michigan Tech,53.2,25.0,0.0,2024-25
Minnesota,55.5,24.8,0.0,2024-25
Minnesota State,54.3,21.0,0.0,2024-25
Minnesota-Duluth,51.3,20.7,0.0,2024-25
New Hampshire,54.3,21.2,0.0,2024-25
Niagara,47.3,18.4,0.0,2024-25
North Dakota,51.3,26.4,0.0,2024-25
Northeastern,47.2,13.7,0.0,2024-25
Northern Michigan,36.7,14.8,0.0,2024-25
Notre Dame,42.8,22.7,0.0,2024-25
Ohio State,49.1,17.5,0.0,2024-25
Omaha,46.1,21.1,0.0,2024-25
Penn State,50.6,23.6,0.0,2024-25
Princeton,46.7,19.5,0.0,2024-25
Providence,55.2,16.2,0.0,2024-25
Quinnipiac,54.7,29.3,0.0,2024-25
Rensselaer,44.2,19.2,,2024-25
RIT,48.7,16.0,0.0,2024-25
Robert Morris,49.2,22.5,0.0,2024-25
Sacred Heart,46.6,16.4,0.0,2024-25
St. Cloud State,46.8,16.8,0.0,2024-25
St. Lawrence,45.8,15.1,0.0,2024-25
St. Thomas,49.9,24.1,0.0,2024-25
Stonehill,42.7,15.0,0.0,2024-25
Union,54.0,22.3,0.0,2024-25
Vermont,50.2,18.2,0.0,2024-25
Western Michigan,57.1,25.7,0.0,2024-25
Wisconsin,57.2,22.1,0.0,2024-25
Yale,41.1,17.0,0.0,2024-25
