date,home_team,away_team,home_score,away_score,period,detail,home_outcome,away_outcome
2022-10-01,Miami (OH) RedHawks,Ferris State Bulldogs,2,2,4,Final/OT,T,T
2022-10-01,UMass Lowell  River Hawks,St. Lawrence Saints,4,0,3,Final,RW,RL
2022-10-01,Northern Michigan Wildcats,Bowling Green Falcons,4,6,3,Final,RL,RW
2022-10-01,Boston University Terriers,Bentley Falcons,8,2,3,Final,RW,RL
2022-10-01,Union Dutchmen,Rochester Tigers,4,3,3,Final,RW,RL
2022-10-01,Mercyhurst Lakers,Ohio State Buckeyes,2,4,3,Final,RL,RW
2022-10-01,St. Thomas - Minnesota Tommies,St. Cloud State Huskies,1,3,3,Final,RL,RW
2022-10-01,Minnesota Duluth Bulldogs,Arizona State Sun Devils,3,2,4,Final/OT,OW,OL
2022-10-01,Vermont Catamounts,UConn Huskies,1,4,3,Final,RL,RW
2022-10-01,Northeastern Huskies,Long Island University Long Island University,3,2,4,Final/OT,OW,OL
2022-10-02,Minnesota Golden Gophers,Lindenwood Lions,4,0,3,Final,RW,RL
2022-10-02,Alaska Anchorage Seawolves,Western Michigan Bulldogs,3,1,3,Final,RW,RL
2022-10-02,Alaska Bulldogs,American International Yellow Jackets,1,1,4,Final/OT,T,T
2022-10-02,Miami (OH) RedHawks,Ferris State Bulldogs,4,1,3,Final,RW,RL
2022-10-02,Army Black Knights,Union Dutchmen,2,2,4,Final/OT,T,T
2022-10-02,Mercyhurst Lakers,Ohio State Buckeyes,1,4,3,Final,RL,RW
2022-10-02,Vermont Catamounts,UConn Huskies,1,3,3,Final,RL,RW
2022-10-02,St. Cloud State Huskies,St. Thomas - Minnesota Tommies,4,0,3,Final,RW,RL
2022-10-02,Minnesota Duluth Bulldogs,Arizona State Sun Devils,4,1,3,Final,RW,RL
2022-10-02,Northern Michigan Wildcats,Bowling Green Falcons,4,3,4,Final/OT,OW,OL
2022-10-03,Minnesota Golden Gophers,Lindenwood Lions,6,4,3,Final,RW,RL
2022-10-03,Alaska Bulldogs,American International Yellow Jackets,2,1,3,Final,RW,RL
2022-10-03,Alaska Anchorage Seawolves,Western Michigan Bulldogs,1,4,3,Final,RL,RW
2022-10-07,Penn State Nittany Lions,Canisius Golden Griffins,5,2,3,Final,RW,RL
2022-10-07,Providence Friars,Sacred Heart Pioneers,6,1,3,Final,RW,RL
2022-10-07,Rensselaer Engineers,Mercyhurst Lakers,6,3,3,Final,RW,RL
2022-10-07,Boston College Eagles,Quinnipiac Bobcats,0,4,3,Final,RL,RW
2022-10-07,Clarkson Golden Knights,New Hampshire Wildcats,3,4,4,Final/OT,OL,OW
2022-10-07,Colgate Raiders,Northern Michigan Wildcats,2,3,3,Final,RL,RW
2022-10-07,St. Lawrence Saints,Merrimack Warriors,3,1,3,Final,RW,RL
2022-10-07,Michigan State Spartans,Bowling Green Falcons,1,3,3,Final,RL,RW
2022-10-07,Michigan Wolverines,Lindenwood Lions,7,4,3,Final,RW,RL
2022-10-07,Ohio State Buckeyes,Wisconsin Badgers,3,1,3,Final,RW,RL
2022-10-07,Rochester Tigers,Army Black Knights,3,2,3,Final,RW,RL
2022-10-07,UConn Huskies,Union Dutchmen,4,1,3,Final,RW,RL
2022-10-07,Ferris State Bulldogs,Michigan Tech Huskies,2,1,3,Final,RW,RL
2022-10-07,UMass Lowell  River Hawks,Miami (OH) RedHawks,1,3,3,Final,RL,RW
2022-10-07,Northeastern Huskies,Vermont Catamounts,5,2,3,Final,RW,RL
2022-10-08,Minnesota Golden Gophers,Minnesota State Mavericks,4,1,3,Final,RW,RL
2022-10-08,North Dakota Fighting Hawks,Holy Cross Crusaders,6,0,3,Final,RW,RL
2022-10-08,Omaha Mavericks,Niagara Purple Eagles,3,4,3,Final,RL,RW
2022-10-08,St. Thomas - Minnesota Tommies,Alaska Bulldogs,2,4,3,Final,RL,RW
2022-10-08,Bemidji State Beavers,Arizona State Sun Devils,0,3,3,Final,RL,RW
